sample_id,Purity,Ploidy,WGD
TCGA-FA-A7Q1-01A,0.78,2.2398,0
TCGA-18-3408-01A,0.72,1.9806,0
TCGA-NC-A5HR-01A,0.62,1.8233,0
TCGA-KN-8437-01A,0.5,1.9999,0
TCGA-V3-A9ZY-01A,1.0,2.0143,0
TCGA-68-8251-01A,0.51,1.4619,0
TCGA-EB-A85I-01A,0.51,1.8909,0
TCGA-22-5473-01A,0.58,2.9245,1
TCGA-56-A4BY-01A,0.56,1.8702,0
TCGA-KL-8339-01A,0.79,3.1978,1
TCGA-33-4533-01A,0.65,4.188,1
TCGA-98-A53A-01A,0.69,1.8152,0
TCGA-66-2787-01A,0.33,3.1637,1
TCGA-66-2793-01A,0.79,3.369,1
TCGA-EB-A4OZ-01A,0.28,1.855,0
TCGA-85-6798-01A,0.44,3.2636,1
TCGA-22-5479-01A,0.28,3.398,1
TCGA-39-5022-01A,0.29,2.2127,0
TCGA-52-7810-01A,0.48,3.704,1
TCGA-VD-A8KI-01A,0.82,2.0151,0
TCGA-WE-A8K4-01A,0.47,1.8405,0
TCGA-EB-A3XE-01A,0.6,1.9714,0
TCGA-56-A5DS-01A,1.0,2.0273,0
TCGA-GS-A9U3-01A,0.4,2.247,0
TCGA-KN-8436-01A,0.82,2.9756,1
TCGA-58-A46J-01A,0.21,3.5048,1
TCGA-BF-A5ES-01A,0.67,2.0659,0
TCGA-58-8392-01A,0.71,1.7662,0
TCGA-D9-A4Z3-01A,0.78,2.0858,0
TCGA-GR-A4D4-01A,0.58,1.971,0
TCGA-77-8130-01A,0.39,3.4309,1
TCGA-79-5596-01A,0.68,1.7822,0
TCGA-EB-A41B-01A,0.79,1.9106,0
TCGA-EB-A5UM-01A,0.7,1.9883,0
TCGA-22-5474-01A,0.55,1.852,0
TCGA-EB-A51B-01A,0.68,3.4788,1
TCGA-EB-A5SE-01A,0.83,1.9452,0
TCGA-34-5232-01A,0.33,1.9561,0
TCGA-85-6175-01A,0.34,2.3391,0
TCGA-52-7812-01A,0.56,1.8695,0
TCGA-NK-A5CR-01A,0.53,3.9244,1
TCGA-UZ-A9PQ-01A,0.86,1.8579,0
TCGA-XF-A9SI-01A,1.0,2.0209,0
TCGA-E7-A8O7-01A,0.8,1.9163,0
TCGA-A4-8311-01A,1.0,2.2024,0
TCGA-UY-A8OC-01A,0.54,3.2621,1
TCGA-2Z-A9J8-01A,0.81,1.8415,0
TCGA-XF-AAN4-01A,1.0,2.0077,0
TCGA-CN-4726-01A,0.33,3.8705,1
TCGA-IA-A83T-01A,0.29,2.2049,0
TCGA-CN-4735-01A,0.69,1.8363,0
TCGA-Y8-A895-01A,0.74,2.1536,0
TCGA-L5-A8NM-01A,0.58,2.0066,0
TCGA-BA-A6DA-01A,0.48,2.1069,0
TCGA-B9-A8YH-01A,0.96,2.2257,0
TCGA-BQ-5878-01A,0.78,1.9961,0
TCGA-FJ-A3ZE-01A,0.82,1.79,0
TCGA-2Z-A9J6-01A,0.79,2.1626,0
TCGA-CN-5360-01A,0.55,1.6791,0
TCGA-BA-5558-01A,0.47,2.0042,0
TCGA-NA-A4QX-01A,0.66,3.7323,1
TCGA-BT-A42C-01A,0.55,4.0142,1
TCGA-A4-7996-01A,0.69,2.085,0
TCGA-BA-A6DI-01A,0.2,3.3953,1
TCGA-E5-A4U1-01A,0.79,3.3855,1
TCGA-L5-A4OH-01A,0.6,3.2726,1
TCGA-CQ-6218-01A,0.52,1.9365,0
TCGA-MH-A55Z-01A,1.0,2.1338,0
TCGA-CV-5971-01A,1.0,1.9546,0
TCGA-T2-A6X2-01A,0.61,2.0938,0
TCGA-ZF-A9RE-01A,0.68,2.0351,0
TCGA-4P-AA8J-01A,0.4,1.8867,0
TCGA-CQ-A4CD-01A,0.35,4.1047,1
TCGA-CF-A47Y-01A,0.82,1.9541,0
TCGA-GU-AATP-01A,0.66,2.6835,1
TCGA-MT-A51X-01A,0.42,3.2464,1
TCGA-4Z-AA87-01A,0.6,3.8346,1
TCGA-2Z-A9JR-01A,0.93,2.138,0
TCGA-E7-A6MF-01A,1.0,1.9541,0
TCGA-QK-A6IF-01A,0.62,1.9158,0
TCGA-CR-7395-01A,0.27,2.0338,0
TCGA-VR-A8EO-01A,0.7,3.9106,1
TCGA-CQ-A4C7-01A,1.0,3.0307,1
TCGA-NF-A5CP-01A,0.73,2.2144,0
TCGA-ZF-A9R2-01A,0.55,3.8571,1
TCGA-F9-A7Q0-01A,0.67,3.01,1
TCGA-CQ-6228-01A,0.8,2.0084,0
TCGA-ZF-AA4U-01A,0.78,3.7675,1
TCGA-G2-A2EF-01A,0.58,3.1483,1
TCGA-UY-A9PE-01A,0.45,3.584,1
TCGA-N7-A4Y8-01A,0.84,2.8969,1
TCGA-CN-4728-01A,0.21,3.0842,1
TCGA-E7-A5KF-01A,0.83,1.9875,0
TCGA-UZ-A9Q0-01A,1.0,2.1338,0
TCGA-XF-A9SZ-01A,0.45,1.9717,0
TCGA-CV-7100-01A,0.56,1.9138,0
TCGA-CV-5440-01A,0.66,3.3693,1
TCGA-BQ-7051-01A,1.0,2.0853,0
TCGA-CV-7415-01A,0.43,3.6814,1
TCGA-A4-A5DU-01A,0.64,5.045,1
TCGA-F9-A7VF-01A,0.83,2.1538,0
TCGA-NF-A4WU-01A,0.61,1.9773,0
TCGA-D6-A6EO-01A,0.7,1.9602,0
TCGA-CQ-7063-01A,0.45,2.1213,0
TCGA-DK-A6B2-01A,0.4,3.4622,1
TCGA-CN-4733-01A,1.0,1.9541,0
TCGA-BQ-5881-01A,0.65,2.1302,0
TCGA-D6-A6EP-01A,0.81,3.6814,1
TCGA-QK-AA3J-01A,0.74,1.9034,0
TCGA-CN-A641-01A,0.46,3.7448,1
TCGA-F9-A97G-01A,0.48,1.9922,0
TCGA-L5-A4OE-01A,0.42,3.5735,1
TCGA-N9-A4Q1-01A,0.8,2.9796,1
TCGA-ZF-A9RN-01A,0.72,2.7459,1
TCGA-CR-7369-01A,0.54,1.8341,0
TCGA-CQ-5334-01A,0.29,4.2313,1
TCGA-E7-A6MD-01A,0.43,3.2365,1
TCGA-LN-A49O-01A,0.56,3.1555,1
TCGA-BQ-5882-01A,0.5,3.1568,1
TCGA-BQ-5879-01A,0.72,1.7736,0
TCGA-LN-A49P-01A,0.38,2.5024,1
TCGA-KQ-A41N-01A,0.71,1.959,0
TCGA-CN-6017-01A,1.0,1.9562,0
TCGA-HE-A5NF-01A,1.0,1.9513,0
TCGA-MH-A55W-01A,1.0,2.1944,0
TCGA-L5-A8NW-01A,0.61,2.2293,1
TCGA-XF-A9SJ-01A,0.44,2.8028,1
TCGA-LN-A4A4-01A,0.61,2.5083,1
TCGA-CR-7367-01A,0.31,3.901,1
TCGA-5P-A9K4-01A,0.98,2.193,0
TCGA-IG-A3QL-01A,0.73,3.1015,1
TCGA-DK-AA6X-01A,0.46,1.944,0
TCGA-N8-A4PL-01A,0.76,3.2184,1
TCGA-CV-5979-01A,0.84,1.9712,0
TCGA-ZF-AA56-01A,0.34,3.1822,1
TCGA-4Z-AA7R-01A,0.81,3.3343,1
TCGA-CN-6021-01A,0.6,1.9091,0
TCGA-FD-A62O-01A,0.74,3.4979,1
TCGA-CN-5355-01A,0.49,1.932,0
TCGA-5N-A9KM-01A,0.51,3.983,1
TCGA-DK-A6B5-01A,0.76,1.6617,0
TCGA-E7-A8O8-01A,0.71,1.9474,0
TCGA-T2-A6WZ-01A,0.44,2.9431,1
TCGA-XP-A8T6-01A,0.45,3.0609,1
TCGA-DK-A3X1-01A,0.43,3.4567,1
TCGA-WN-A9G9-01A,0.3,1.9414,0
TCGA-CN-6998-01A,0.65,2.0321,0
TCGA-D6-A6EK-01A,0.42,2.1621,0
TCGA-ZF-AA4W-01A,0.22,3.7757,1
TCGA-FD-A3B4-01A,0.62,2.0727,0
TCGA-GC-A3YS-01A,0.43,3.8598,1
TCGA-CV-A6JE-01A,0.48,3.4651,1
TCGA-CQ-7065-01A,0.71,1.9594,0
TCGA-CN-A63W-01A,0.62,3.4639,1
TCGA-A4-7287-01A,0.61,1.7809,0
